gen,child,eps,Rg,err
10,10,[1.728489 0.494025 1.426625 2.517925 0.772467 2.190727 1.049235 1.634321 2.306405 0.381214 2.333413 1.769598 0.295172 1.039914 1.160612],17.568362,18.431638
10,11,[2.645554 0.473470 0.574092 1.460803 0.186424 0.672323 0.700287 1.381453 1.436185 1.431644 2.747132 1.930927 1.116157 0.854685 1.185707],24.461214,11.538786
10,12,[2.638384 1.263862 0.589866 2.302581 0.316683 0.477055 0.823375 1.332696 0.798757 1.284417 2.915392 1.406310 1.209369 1.693834 1.216539],24.647068,11.352932
11,1,[1.634321 1.024379 1.290153 3.575765 0.446702 1.027964 1.071463 1.273184 1.377629 0.773423 2.726816 1.389818 0.957457 1.964866 0.435946],26.016780,9.983220
11,2,[2.165392 0.704111 1.577677 2.888623 0.626912 1.132409 1.289197 1.741874 0.580784 0.346080 3.693595 2.606597 1.110660 2.207457 0.406549],24.646952,11.353048
11,3,[2.142925 1.090583 0.215105 2.640774 1.363289 0.960086 0.125478 1.423996 0.283461 1.525813 3.792304 2.401769 1.161329 1.218212 0.863528],23.901051,12.098949
11,4,[1.658939 1.337954 1.857553 3.154876 0.395793 1.891730 1.035612 1.516252 0.642925 0.131453 3.361138 2.613528 0.405593 2.238050 0.212715],21.154263,14.845737
11,5,[2.449092 1.191683 0.814293 1.989006 0.393881 0.990679 0.929015 2.276769 0.554493 0.686424 2.497371 1.162046 1.143642 2.278442 0.993069],24.367686,11.632314
11,6,[2.114245 0.811185 0.663241 2.016969 0.859943 2.576482 0.701482 1.006214 0.487572 0.191205 4.122849 2.183795 1.604685 2.059990 1.202677],17.919422,18.080578
11,7,[1.361138 1.368308 0.723948 3.057839 0.948853 1.284417 0.162524 0.430210 0.410612 0.490679 3.608987 1.484465 0.395793 2.566205 1.134082],31.122330,4.877670
11,8,[1.598709 1.051864 1.457457 2.349904 0.183317 1.657266 0.971319 1.286568 1.011233 0.935468 3.788241 1.837715 0.119503 1.161807 0.911090],24.195825,11.804175
11,9,[2.782505 0.902008 0.990679 2.592495 1.153203 1.629063 0.290631 1.326243 0.857553 0.125478 4.122849 2.333413 1.136472 1.784656 1.099904],25.367431,10.632569
